,Month,Date,Material,Pit,Reduced Level,Site Mixed Emulsion(Kg),Emulboost 125gm,Emulboost 250gm,DTH 6M,DTH 8M,DTH 10m,DTH 12m,TLD 5m (17ms),TLD 5m (25ms),TLD 5m (42ms),TLD 5m (65ms),TLD 5m (100ms),Electronic Detonator,Number Of Hole,Spacing,Burden,Meterage Blasted,Total Blasted Volume,Bulk Density,Total Blasted Tonnage,Powder Factor,Yield,Total Booster Explosive(Kg),Booster Ratio
0,April'22,2022-04-04,FO,Pit3,660,9120,66.0,66.0,0.0,66.0,0.0,66.0,0.0,28.0,23.0,23.0,0.0,2.0,66,4.0,4.0,693,11088.0,3.5,38808.0,4.26,56.0,24.75,0.0027138157894736844
1,April'22,2022-04-04,HO,Pit2,700,3200,44.0,0.0,0.0,44.0,0.0,0.0,0.0,0.0,10.0,21.0,20.0,2.0,44,4.0,3.5,308,4312.0,4.0,17248.0,5.39,56.0,5.5,0.00171875
2,April'22,2022-06-04,HO,Pit2,700,9490,137.0,40.0,0.0,97.0,0.0,0.0,50.0,48.0,47.0,0.0,0.0,2.0,137,4.0,3.5,782,10948.0,4.0,43792.0,4.61,56.0,27.12,0.002857744994731296
3,April'22,2022-07-04,WASTE,Pit3,670,7100,165.0,165.0,80.0,85.0,0.0,0.0,71.0,53.0,47.0,0.0,0.0,2.0,165,4.0,4.0,787,12592.0,3.0,37776.0,5.32,48.0,61.88,0.00871549295774648
4,April'22,2022-08-04,FO,Pit3,660,3200,47.0,0.0,0.0,47.0,0.0,0.0,20.0,17.0,17.0,0.0,0.0,2.0,47,4.0,4.0,329,5264.0,3.5,18424.0,5.76,56.0,5.88,0.0018375
5,April'22,2022-08-04,HO,Pit1,700,20790,60.0,152.0,60.0,0.0,92.0,60.0,0.0,60.0,58.0,39.0,0.0,2.0,152,4.0,3.5,1504,21056.0,4.0,84224.0,4.05,56.0,45.5,0.0021885521885521885
6,April'22,2022-04-13,SG,Pit3,670,14540,110.0,110.0,0.0,110.0,0.0,110.0,0.0,53.0,35.0,30.0,0.0,2.0,110,4.0,3.5,1155,16170.0,3.5,56595.0,3.89,49.0,41.25,0.0028370013755158185
7,April'22,2022-04-14,WASTE,Pit3,680,12760,103.0,83.0,0.0,20.0,50.0,33.0,60.0,25.0,28.0,0.0,0.0,2.0,103,4.0,4.0,962,15392.0,3.0,46176.0,3.62,48.0,33.62,0.002634796238244514
8,April'22,2022-04-18,FO,Pit1,700,13250,146.0,0.0,0.0,0.0,146.0,0.0,50.0,41.0,28.0,18.0,14.0,2.0,146,4.0,4.0,1241,19856.0,3.5,69496.0,5.24,56.0,18.25,0.0013773584905660376
9,April'22,2022-04-18,SG,Pit1,700,6630,118.0,0.0,0.0,118.0,0.0,0.0,41.0,42.0,40.0,0.0,0.0,2.0,118,4.0,4.0,649,10384.0,3.5,36344.0,5.48,56.0,14.75,0.00222473604826546
